distance_m,lat,lon,altitude_m,grade_pct
0,36.698898,-4.437332,36.9,0.05
5,36.698878,-4.437284,36.9,-0.00
10,36.698859,-4.437232,36.9,-0.02
15,36.698842,-4.437180,36.9,-0.02
20,36.698822,-4.437130,36.9,-0.08
25,36.698817,-4.437076,36.9,-0.08
30,36.698840,-4.437029,36.9,-0.04
35,36.698873,-4.436996,36.9,-0.08
40,36.698912,-4.436967,36.9,-0.12
45,36.698950,-4.436936,36.9,-0.18
50,36.698989,-4.436906,36.8,-0.20
55,36.699025,-4.436875,36.8,-0.20
60,36.699065,-4.436846,36.8,-0.20
65,36.699104,-4.436820,36.8,-0.14
70,36.699144,-4.436794,36.8,-0.08
75,36.699184,-4.436767,36.8,-0.02
80,36.699225,-4.436742,36.8,0.00
85,36.699266,-4.436722,36.8,0.00
90,36.699309,-4.436706,36.8,0.00
95,36.699350,-4.436688,36.8,0.00
100,36.699389,-4.436658,36.8,0.00
105,36.699429,-4.436628,36.8,0.00
110,36.699463,-4.436595,36.8,0.00
115,36.699498,-4.436558,36.8,0.00
120,36.699532,-4.436521,36.8,0.00
125,36.699570,-4.436489,36.8,0.00
130,36.699608,-4.436461,36.8,0.00
135,36.699644,-4.436433,36.8,0.00
140,36.699685,-4.436402,36.8,0.06
145,36.699722,-4.436370,36.8,0.12
150,36.699756,-4.436336,36.8,0.13
155,36.699793,-4.436302,36.8,0.13
160,36.699828,-4.436269,36.8,0.13
165,36.699866,-4.436236,36.8,0.13
170,36.699900,-4.436202,36.8,0.07
175,36.699931,-4.436161,36.8,0.01
180,36.699964,-4.436098,36.8,0.00
185,36.700007,-4.436043,36.8,0.00
190,36.700038,-4.436001,36.8,0.00
195,36.700065,-4.435955,36.8,-0.06
200,36.700085,-4.435905,36.8,-0.12
205,36.700098,-4.435852,36.8,-0.13
210,36.700111,-4.435799,36.8,-0.13
215,36.700131,-4.435748,36.8,-0.13
220,36.700155,-4.435701,36.8,-0.13
225,36.700185,-4.435659,36.8,-0.06
230,36.700222,-4.435627,36.8,0.06
235,36.700261,-4.435603,36.8,0.13
240,36.700305,-4.435587,36.8,0.14
245,36.700350,-4.435580,36.8,0.14
250,36.700404,-4.435579,36.8,0.14
255,36.700447,-4.435577,36.8,0.12
260,36.700490,-4.435558,36.8,0.06
265,36.700528,-4.435529,36.8,0.00
270,36.700563,-4.435492,36.8,0.00
275,36.700598,-4.435455,36.8,0.00
280,36.700629,-4.435417,36.8,-0.01
285,36.700662,-4.435379,36.8,-0.07
290,36.700693,-4.435339,36.8,-0.13
295,36.700726,-4.435298,36.8,-0.14
300,36.700757,-4.435258,36.8,-0.14
305,36.700787,-4.435217,36.8,-0.14
310,36.700819,-4.435177,36.8,-0.10
315,36.700852,-4.435138,36.8,0.02
320,36.700885,-4.435101,36.8,0.14
325,36.700917,-4.435063,36.8,0.20
330,36.700949,-4.435024,36.8,0.26
335,36.700983,-4.434985,36.8,0.32
340,36.701015,-4.434945,36.9,0.36
345,36.701046,-4.434907,36.9,0.36
350,36.701078,-4.434868,36.9,0.36
355,36.701109,-4.434828,36.9,0.36
360,36.701143,-4.434787,36.9,0.36
365,36.701174,-4.434746,37.0,0.34
370,36.701205,-4.434707,37.0,0.28
375,36.701237,-4.434667,37.0,0.22
380,36.701268,-4.434627,37.0,0.16
385,36.701298,-4.434587,37.0,0.10
390,36.701330,-4.434546,37.0,0.04
395,36.701361,-4.434506,37.0,0.00
400,36.701391,-4.434465,37.0,0.00
405,36.701422,-4.434424,37.0,0.00
410,36.701453,-4.434383,37.0,0.00
415,36.701484,-4.434343,37.0,0.00
420,36.701515,-4.434303,37.0,0.00
425,36.701548,-4.434264,37.0,0.00
430,36.701582,-4.434225,37.0,0.00
435,36.701614,-4.434187,37.0,0.00
440,36.701648,-4.434150,37.0,0.02
445,36.701681,-4.434113,37.0,0.08
450,36.701714,-4.434075,37.0,0.14
455,36.701748,-4.434037,37.0,0.20
460,36.701780,-4.433999,37.0,0.26
465,36.701814,-4.433962,37.0,0.32
470,36.701849,-4.433926,37.1,0.36
475,36.701883,-4.433889,37.1,0.36
480,36.701918,-4.433852,37.1,0.36
485,36.701953,-4.433817,37.1,0.36
490,36.701988,-4.433785,37.1,0.36
495,36.702024,-4.433751,37.2,0.35
500,36.702061,-4.433717,37.2,0.29
505,36.702095,-4.433684,37.2,0.23
510,36.702133,-4.433653,37.2,0.16
515,36.702173,-4.433624,37.2,0.10
520,36.702212,-4.433595,37.2,0.04
525,36.702250,-4.433566,37.2,0.00
530,36.702289,-4.433537,37.2,0.00
535,36.702326,-4.433508,37.2,0.00
540,36.702366,-4.433480,37.2,0.00
545,36.702405,-4.433454,37.2,0.00
550,36.702445,-4.433427,37.2,0.00
555,36.702486,-4.433400,37.2,0.05
560,36.702525,-4.433372,37.2,0.11
565,36.702563,-4.433344,37.2,0.17
570,36.702601,-4.433314,37.2,0.23
575,36.702640,-4.433286,37.2,0.29
580,36.702679,-4.433259,37.3,0.35
585,36.702717,-4.433230,37.3,0.36
590,36.702756,-4.433201,37.3,0.36
595,36.702793,-4.433171,37.3,0.36
600,36.702832,-4.433144,37.3,0.36
605,36.702873,-4.433118,37.3,0.36
610,36.702913,-4.433092,37.4,0.31
615,36.702952,-4.433065,37.4,0.25
620,36.702993,-4.433038,37.4,0.19
625,36.703030,-4.433010,37.4,0.13
630,36.703070,-4.432981,37.4,0.07
635,36.703109,-4.432952,37.4,0.01
640,36.703145,-4.432923,37.4,0.04
645,36.703185,-4.432895,37.4,0.10
650,36.703226,-4.432867,37.4,0.16
655,36.703266,-4.432839,37.4,0.22
660,36.703303,-4.432810,37.4,0.28
